{'name': 'spim_core.spim_base.Exaspim', 'msg': 'tiger motorized axes parameters', 'levelname': 'INFO', 'created': 1691013475.8774211, 'tags': ['schema'], 'message': 'tiger motorized axes parameters', 'asctime': '2023-08-02,14:57:55', 'created_strftime': '2023-08-02,14:57:55'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Axis Name ChX, X', 'levelname': 'INFO', 'created': 1691013476.2118802, 'tags': ['schema'], 'message': 'X axis, Axis Name ChX, X', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Limits Status, f', 'levelname': 'INFO', 'created': 1691013476.2158754, 'tags': ['schema'], 'message': 'X axis, Limits Status, f', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Input Device, NONE [J]', 'levelname': 'INFO', 'created': 1691013476.2238657, 'tags': ['schema'], 'message': 'X axis, Input Device, NONE [J]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Axis Profile, STD_FP_ROT', 'levelname': 'INFO', 'created': 1691013476.2278557, 'tags': ['schema'], 'message': 'X axis, Axis Profile, STD_FP_ROT', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Max Lim, 27.853 [SU] mm', 'levelname': 'INFO', 'created': 1691013476.238846, 'tags': ['schema'], 'message': 'X axis, Max Lim, 27.853 [SU] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Min Lim, -17.462 [SL] mm', 'levelname': 'INFO', 'created': 1691013476.2428398, 'tags': ['schema'], 'message': 'X axis, Min Lim, -17.462 [SL] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Ramp Time, 70.50 [AC] ms', 'levelname': 'INFO', 'created': 1691013476.2458296, 'tags': ['schema'], 'message': 'X axis, Ramp Time, 70.50 [AC] ms', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Ramp Length, 16347 enc', 'levelname': 'INFO', 'created': 1691013476.248823, 'tags': ['schema'], 'message': 'X axis, Ramp Length, 16347 enc', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Run Speed, 1.28638 [S]mm/s', 'levelname': 'INFO', 'created': 1691013476.2518184, 'tags': ['schema'], 'message': 'X axis, Run Speed, 1.28638 [S]mm/s', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, vmax_enc*64, 7475', 'levelname': 'INFO', 'created': 1691013476.255818, 'tags': ['schema'], 'message': 'X axis, vmax_enc*64, 7475', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Servo Lp Time, 0.50 ms', 'levelname': 'INFO', 'created': 1691013476.2588096, 'tags': ['schema'], 'message': 'X axis, Servo Lp Time, 0.50 ms', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Enc Polarity, 1 [EP]', 'levelname': 'INFO', 'created': 1691013476.2657938, 'tags': ['schema'], 'message': 'X axis, Enc Polarity, 1 [EP]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, dv_enc, 53', 'levelname': 'INFO', 'created': 1691013476.2697885, 'tags': ['schema'], 'message': 'X axis, dv_enc, 53', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, LL Axis ID, 24', 'levelname': 'INFO', 'created': 1691013476.2727869, 'tags': ['schema'], 'message': 'X axis, LL Axis ID, 24', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Drift Error, 0.000200 [E] mm', 'levelname': 'INFO', 'created': 1691013476.2827756, 'tags': ['schema'], 'message': 'X axis, Drift Error, 0.000200 [E] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc_drift_err, 36', 'levelname': 'INFO', 'created': 1691013476.2857661, 'tags': ['schema'], 'message': 'X axis, enc_drift_err, 36', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Finish Error, 0.000012 [PC] mm', 'levelname': 'INFO', 'created': 1691013476.2887657, 'tags': ['schema'], 'message': 'X axis, Finish Error, 0.000012 [PC] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc_finsh_err, 2', 'levelname': 'INFO', 'created': 1691013476.29375, 'tags': ['schema'], 'message': 'X axis, enc_finsh_err, 2', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Backlash, 0.000000 [B] mm', 'levelname': 'INFO', 'created': 1691013476.2967527, 'tags': ['schema'], 'message': 'X axis, Backlash, 0.000000 [B] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc_backlash, 0', 'levelname': 'INFO', 'created': 1691013476.3007467, 'tags': ['schema'], 'message': 'X axis, enc_backlash, 0', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Overshoot, 0.000000 [OS] mm', 'levelname': 'INFO', 'created': 1691013476.3037343, 'tags': ['schema'], 'message': 'X axis, Overshoot, 0.000000 [OS] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc_overshoot, 0', 'levelname': 'INFO', 'created': 1691013476.3077276, 'tags': ['schema'], 'message': 'X axis, enc_overshoot, 0', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Kp, 125 [KP]', 'levelname': 'INFO', 'created': 1691013476.3137307, 'tags': ['schema'], 'message': 'X axis, Kp, 125 [KP]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Ki, 100 [KI]', 'levelname': 'INFO', 'created': 1691013476.3167183, 'tags': ['schema'], 'message': 'X axis, Ki, 100 [KI]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Kv, 94 [KV]', 'levelname': 'INFO', 'created': 1691013476.319712, 'tags': ['schema'], 'message': 'X axis, Kv, 94 [KV]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Kd, 0 [KD]', 'levelname': 'INFO', 'created': 1691013476.3287017, 'tags': ['schema'], 'message': 'X axis, Kd, 0 [KD]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Ka, 0 [KA]', 'levelname': 'INFO', 'created': 1691013476.3326924, 'tags': ['schema'], 'message': 'X axis, Ka, 0 [KA]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Kadc, 1', 'levelname': 'INFO', 'created': 1691013476.3356905, 'tags': ['schema'], 'message': 'X axis, Kadc, 1', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Axis Enable, 1 [MC]', 'levelname': 'INFO', 'created': 1691013476.3396833, 'tags': ['schema'], 'message': 'X axis, Axis Enable, 1 [MC]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Motor Enable, 0', 'levelname': 'INFO', 'created': 1691013476.3436773, 'tags': ['schema'], 'message': 'X axis, Motor Enable, 0', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, CMD_stat, NO_MOVE', 'levelname': 'INFO', 'created': 1691013476.3466725, 'tags': ['schema'], 'message': 'X axis, CMD_stat, NO_MOVE', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Move_stat, IDLE', 'levelname': 'INFO', 'created': 1691013476.3496604, 'tags': ['schema'], 'message': 'X axis, Move_stat, IDLE', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Current pos, -0.0000 mm', 'levelname': 'INFO', 'created': 1691013476.3546534, 'tags': ['schema'], 'message': 'X axis, Current pos, -0.0000 mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc position, -2', 'levelname': 'INFO', 'created': 1691013476.359654, 'tags': ['schema'], 'message': 'X axis, enc position, -2', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Target pos, 0.0000 mm', 'levelname': 'INFO', 'created': 1691013476.3626425, 'tags': ['schema'], 'message': 'X axis, Target pos, 0.0000 mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc target, 0', 'levelname': 'INFO', 'created': 1691013476.366643, 'tags': ['schema'], 'message': 'X axis, enc target, 0', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, enc pos error, 2', 'levelname': 'INFO', 'created': 1691013476.3756192, 'tags': ['schema'], 'message': 'X axis, enc pos error, 2', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, EEsum, 682', 'levelname': 'INFO', 'created': 1691013476.378622, 'tags': ['schema'], 'message': 'X axis, EEsum, 682', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Lst Stle Time, 17 ms', 'levelname': 'INFO', 'created': 1691013476.3816104, 'tags': ['schema'], 'message': 'X axis, Lst Stle Time, 17 ms', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Av Settle Tim, 0 ms', 'levelname': 'INFO', 'created': 1691013476.3886063, 'tags': ['schema'], 'message': 'X axis, Av Settle Tim, 0 ms', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Home position, 604.97 mm', 'levelname': 'INFO', 'created': 1691013476.3915956, 'tags': ['schema'], 'message': 'X axis, Home position, 604.97 mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Motor Signal, 0', 'levelname': 'INFO', 'created': 1691013476.394591, 'tags': ['schema'], 'message': 'X axis, Motor Signal, 0', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, mm/sec/DAC_ct, 0.01500 [D]', 'levelname': 'INFO', 'created': 1691013476.3985898, 'tags': ['schema'], 'message': 'X axis, mm/sec/DAC_ct, 0.01500 [D]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Enc Cnts/mm, 181590.40 [C]', 'levelname': 'INFO', 'created': 1691013476.403583, 'tags': ['schema'], 'message': 'X axis, Enc Cnts/mm, 181590.40 [C]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Wait Time, 0 [WT] ms', 'levelname': 'INFO', 'created': 1691013476.406577, 'tags': ['schema'], 'message': 'X axis, Wait Time, 0 [WT] ms', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, Maintain code, 0 [MA]', 'levelname': 'INFO', 'created': 1691013476.4105647, 'tags': ['schema'], 'message': 'X axis, Maintain code, 0 [MA]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, AAlign value, 85 [AA]', 'levelname': 'INFO', 'created': 1691013476.4145544, 'tags': ['schema'], 'message': 'X axis, AAlign value, 85 [AA]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'X axis, AZero value, 93 [AZ]', 'levelname': 'INFO', 'created': 1691013476.4195466, 'tags': ['schema'], 'message': 'X axis, AZero value, 93 [AZ]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'Y axis, Axis Name ChY, Y', 'levelname': 'INFO', 'created': 1691013476.7140775, 'tags': ['schema'], 'message': 'Y axis, Axis Name ChY, Y', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'Y axis, Limits Status, f', 'levelname': 'INFO', 'created': 1691013476.7180793, 'tags': ['schema'], 'message': 'Y axis, Limits Status, f', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'Y axis, Input Device, NONE [J]', 'levelname': 'INFO', 'created': 1691013476.7220635, 'tags': ['schema'], 'message': 'Y axis, Input Device, NONE [J]', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'Y axis, Axis Profile, STD_FP_ROT', 'levelname': 'INFO', 'created': 1691013476.72506, 'tags': ['schema'], 'message': 'Y axis, Axis Profile, STD_FP_ROT', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
{'name': 'spim_core.spim_base.Exaspim', 'msg': 'Y axis, Max Lim, 30.097 [SU] mm', 'levelname': 'INFO', 'created': 1691013476.7350564, 'tags': ['schema'], 'message': 'Y axis, Max Lim, 30.097 [SU] mm', 'asctime': '2023-08-02,14:57:56', 'created_strftime': '2023-08-02,14:57:56'}
